Are.you.self.employed.,How.many.employees.does.your.company.or.organization.have.,Is.your.employer.primarily.a.tech.company.organization.,Is.your.primary.role.within.your.company.related.to.tech.IT.,Does.your.employer.provide.mental.health.benefits.as.part.of.healthcare.coverage.,Do.you.know.the.options.for.mental.health.care.available.under.your.employer.provided.coverage.,Has.your.employer.ever.formally.discussed.mental.health..for.example..as.part.of.a.wellness.campaign.or.other.official.communication..,Does.your.employer.offer.resources.to.learn.more.about.mental.health.concerns.and.options.for.seeking.help.,Is.your.anonymity.protected.if.you.choose.to.take.advantage.of.mental.health.or.substance.abuse.treatment.resources.provided.by.your.employer.,If.a.mental.health.issue.prompted.you.to.request.a.medical.leave.from.work..asking.for.that.leave.would.be.,Do.you.think.that.discussing.a.mental.health.disorder.with.your.employer.would.have.negative.consequences.,Do.you.think.that.discussing.a.physical.health.issue.with.your.employer.would.have.negative.consequences.,Would.you.feel.comfortable.discussing.a.mental.health.disorder.with.your.coworkers.,Would.you.feel.comfortable.discussing.a.mental.health.disorder.with.your.direct.supervisor.s..,Do.you.feel.that.your.employer.takes.mental.health.as.seriously.as.physical.health.,Have.you.heard.of.or.observed.negative.consequences.for.co.workers.who.have.been.open.about.mental.health.issues.in.your.workplace.,Do.you.have.medical.coverage..private.insurance.or.state.provided..which.includes.treatment.of..mental.health.issues.,Do.you.know.local.or.online.resources.to.seek.help.for.a.mental.health.disorder.,If.you.have.been.diagnosed.or.treated.for.a.mental.health.disorder..do.you.ever.reveal.this.to.clients.or.business.contacts.,If.you.have.revealed.a.mental.health.issue.to.a.client.or.business.contact..do.you.believe.this.has.impacted.you.negatively.,If.you.have.been.diagnosed.or.treated.for.a.mental.health.disorder..do.you.ever.reveal.this.to.coworkers.or.employees.,If.you.have.revealed.a.mental.health.issue.to.a.coworker.or.employee..do.you.believe.this.has.impacted.you.negatively.,Do.you.believe.your.productivity.is.ever.affected.by.a.mental.health.issue.,If.yes..what.percentage.of.your.work.time..time.performing.primary.or.secondary.job.functions..is.affected.by.a.mental.health.issue.,Do.you.have.previous.employers.,Have.your.previous.employers.provided.mental.health.benefits.,Were.you.aware.of.the.options.for.mental.health.care.provided.by.your.previous.employers.,Did.your.previous.employers.ever.formally.discuss.mental.health..as.part.of.a.wellness.campaign.or.other.official.communication..,Did.your.previous.employers.provide.resources.to.learn.more.about.mental.health.issues.and.how.to.seek.help.,Was.your.anonymity.protected.if.you.chose.to.take.advantage.of.mental.health.or.substance.abuse.treatment.resources.with.previous.employers.,Do.you.think.that.discussing.a.mental.health.disorder.with.previous.employers.would.have.negative.consequences.,Do.you.think.that.discussing.a.physical.health.issue.with.previous.employers.would.have.negative.consequences.,Would.you.have.been.willing.to.discuss.a.mental.health.issue.with.your.previous.co.workers.,Would.you.have.been.willing.to.discuss.a.mental.health.issue.with.your.direct.supervisor.s..,Did.you.feel.that.your.previous.employers.took.mental.health.as.seriously.as.physical.health.,Did.you.hear.of.or.observe.negative.consequences.for.co.workers.with.mental.health.issues.in.your.previous.workplaces.,Would.you.be.willing.to.bring.up.a.physical.health.issue.with.a.potential.employer.in.an.interview.,Would.you.bring.up.a.mental.health.issue.with.a.potential.employer.in.an.interview.,Do.you.feel.that.being.identified.as.a.person.with.a.mental.health.issue.would.hurt.your.career.,Do.you.think.that.team.members.co.workers.would.view.you.more.negatively.if.they.knew.you.suffered.from.a.mental.health.issue.,How.willing.would.you.be.to.share.with.friends.and.family.that.you.have.a.mental.illness.,Have.you.observed.or.experienced.an.unsupportive.or.badly.handled.response.to.a.mental.health.issue.in.your.current.or.previous.workplace.,Do.you.have.a.family.history.of.mental.illness.,Have.you.had.a.mental.health.disorder.in.the.past.,Do.you.currently.have.a.mental.health.disorder.,Have.you.been.diagnosed.with.a.mental.health.condition.by.a.medical.professional.,Have.you.ever.sought.treatment.for.a.mental.health.issue.from.a.mental.health.professional.,If.you.have.a.mental.health.issue..do.you.feel.that.it.interferes.with.your.work.when.being.treated.effectively.,If.you.have.a.mental.health.issue..do.you.feel.that.it.interferes.with.your.work.when.NOT.being.treated.effectively.,What.is.your.age.,What.is.your.gender.,What.country.do.you.live.in.,What.US.state.or.territory.do.you.live.in.,What.country.do.you.work.in.,What.US.state.or.territory.do.you.work.in.,Which.of.the.following.best.describes.your.work.position.,Do.you.work.remotely.
No,26-100,Yes,Tech Company,Yes,I am not sure,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"No, none did",N/A (not currently aware),None did,None did,No,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,None did,Some of them,Yes,Yes,"No, I don't think it would",Maybe,Very open,"Yes, I observed",I don't know,Yes,Yes,Yes,Yes,Sometimes,Often,28,male,United States of America,Oregon,United States of America,Oregon,Front-end Developer,Never
No,100-500,No,Yes,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Yes,No,No,No,No,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Not open at all,No,Yes,Yes,Yes,Yes,Yes,Never,Rarely,34,male,United States of America,Pennsylvania,United States of America,Pennsylvania,Executive Leadership,Sometimes
No,100-500,Yes,Tech Company,Yes,I am not sure,No,No,Yes,Very easy,No,No,Yes,Yes,Yes,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",None of them,None of them,"Yes, at all of my previous employers",Some of my previous employers,"Yes, they all did",None of them,No,No,"No, it has not","No, they do not",Somewhat open,No,Yes,Yes,Yes,Yes,Yes,Rarely,Sometimes,30,female,United States of America,New Jersey,United States of America,New Jersey,Supervisor/Team Lead|Dev Evangelist/Advocate|Back-end Developer|Front-end Developer,Always
No,100-500,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,No,Maybe,Yes,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them","Yes, all of them",Some of my previous employers,Some of my previous employers,None did,Some of them,Yes,No,Maybe,"Yes, I think they would",Not open at all,"Yes, I experienced",No,Maybe,Maybe,No,No,Not applicable to me,Sometimes,44,male,Canada,Does not live in US,Canada,Does not work in US,DevOps/SysAdmin|Back-end Developer|Front-end Developer,Sometimes
No,100-500,Yes,Tech Company,Yes,Yes,No,I don't know,Yes,Very easy,No,No,Yes,Yes,No,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,I don't know,"No, I only became aware later",None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,No,No,"No, it has not","No, they do not",Somewhat open,No,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,35,male,United States of America,Georgia,United States of America,Georgia,Designer,Always
No,100-500,Yes,Tech Company,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Maybe,Maybe,Neutral,No,Yes,Yes,Yes,Yes,Yes,Rarely,Sometimes,52,male,United States of America,Oregon,United States of America,Oregon,Other|Executive Leadership,Sometimes
No,26-100,Yes,Tech Company,Not eligible for coverage / N/A,No,No,No,I don't know,Very difficult,Maybe,No,Maybe,Maybe,No,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"No, none did","No, I only became aware later",None did,None did,No,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Yes,No,"Yes, it has","No, I don't think they would",Very open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,Sometimes,Often,32,Other/No Response,Canada,Does not live in US,Canada,Does not work in US,Front-end Developer,Always
No,500-1000,Yes,Tech Company,No,No,No,No,I don't know,I don't know,Maybe,No,Yes,Maybe,No,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,No,No,No,No,Not applicable to me,Not applicable to me,34,male,United Kingdom,Does not live in US,United Kingdom,Does not work in US,Back-end Developer,Never
Yes,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Yes,I know some,"No, because it would impact me negatively",Yes,"No, because it would impact me negatively",Yes,Yes,76-100%,No,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No,No,"Yes, it has","Yes, they do",Somewhat not open,"Yes, I observed",I don't know,Yes,Yes,Yes,Yes,Often,Often,25,female,United States of America,Washington,United States of America,Washington,One-person shop,Always
No,100-500,No,Yes,I don't know,No,No,No,I don't know,I don't know,Yes,No,No,No,Yes,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,I don't know,N/A (not currently aware),None did,Some did,I don't know,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,Yes,Yes,Yes,Yes,Yes,Rarely,Sometimes,31,male,United States of America,New Jersey,United States of America,New York,Back-end Developer|Front-end Developer,Sometimes
No,25-Jun,Yes,Tech Company,No,N/A,No,No,I don't know,Very easy,No,No,Maybe,Yes,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"Yes, they all did","Yes, I was aware of all of them",None did,None did,"Yes, always",None of them,None of them,Some of my previous employers,Some of my previous employers,"Yes, they all did",None of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,Yes,Maybe,No,No,No,Not applicable to me,Not applicable to me,26,male,United States of America,New York,United States of America,New York,Back-end Developer,Sometimes
No,More than 1000,No,Yes,Yes,No,Yes,I don't know,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",None of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,Maybe,Maybe,Neutral,No,No,No,No,No,No,Not applicable to me,Not applicable to me,35,male,United States of America,Indiana,United States of America,Indiana,Other,Never
No,26-100,Yes,Tech Company,Yes,Yes,No,No,I don't know,Very easy,Maybe,Maybe,Maybe,No,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Neutral,No,I don't know,Maybe,No,No,No,Not applicable to me,Not applicable to me,25,male,Germany,Does not live in US,Germany,Does not work in US,Back-end Developer,Sometimes
No,5-Jan,Yes,Tech Company,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",Yes,Yes,No,Yes,Yes,Sometimes,Often,33,male,Canada,Does not live in US,Canada,Does not work in US,Back-end Developer,Sometimes
Yes,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Yes,I know some,Not applicable to me,N/A,Not applicable to me,Not applicable to me,Not applicable to me,Not Affected or Unsure,Yes,I don't know,"No, I only became aware later",None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,Some of them,Maybe,Maybe,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),N/A,No,No,No,No,No,Not applicable to me,Not applicable to me,38,male,United States of America,New York,United States of America,New York,Supervisor/Team Lead,Sometimes
No,100-500,No,Yes,Yes,Yes,I don't know,Yes,Yes,Very easy,No,No,Maybe,Maybe,Yes,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,No,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,Maybe,Maybe,Maybe,"No, I don't think they would",Very open,Maybe/Not sure,No,No,No,No,No,Not applicable to me,Not applicable to me,42,male,Germany,Does not live in US,Germany,Does not work in US,Supervisor/Team Lead|Support|Back-end Developer,Never
No,26-100,No,Yes,No,No,No,No,I don't know,Very difficult,Yes,Yes,No,No,No,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"No, none did",I was aware of some,Some did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",I don't know,Some did,None of them,No,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,I don't know,Yes,Yes,Yes,Yes,Rarely,Often,27,male,Netherlands,Does not live in US,Netherlands,Does not work in US,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer,Sometimes
No,100-500,Yes,Tech Company,I don't know,No,No,No,I don't know,Somewhat difficult,No,No,No,No,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,No,No,Maybe,No,Yes,Sometimes,Often,35,male,Germany,Does not live in US,Germany,Does not work in US,Back-end Developer,Never
No,500-1000,No,Yes,I don't know,No,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,Yes,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,I don't know,"No, I only became aware later",None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,"Yes, all of them",Maybe,No,"Yes, I think it would","No, I don't think they would",Neutral,"Yes, I observed",Yes,Yes,Maybe,No,Yes,Sometimes,Often,34,female,United Kingdom,Does not live in US,United Kingdom,Does not work in US,Other,Never
No,25-Jun,Yes,Tech Company,Not eligible for coverage / N/A,N/A,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",Yes,Yes,Yes,Yes,Yes,Sometimes,Often,32,Other/No Response,United Kingdom,Does not live in US,United Kingdom,Does not work in US,Other|Supervisor/Team Lead|Support|Back-end Developer|Designer,Never
